file_name,FastFMC_D0_number_of_nodes,FastFMC_D0_number_of_edges,FastFMC_D_number_of_nodes,FastFMC_D_number_of_edges,alt1_D0_number_of_nodes,alt1_D0_number_of_edges,alt2_D_number_of_nodes,alt2_D_number_of_edges
75-15-5-q,3197,3196,3197,3196,--,--,--,--
75-15-6-q,19628,80235,19926,105027,249694,976770,19021,131211
75-15-7-q,89934,361064,91965,449864,380090,1464231,85578,641340
75-15-8-q,16294,63620,16561,85107,168646,482322,15939,113098
75-15-9-q,12929,54815,13269,65080,32474,106729,12548,105987
75-16-1-q,42562,193012,43355,232734,629869,2438143,40748,416989
75-16-10-q,34101,156032,34634,188109,669164,2136885,32894,287705
75-16-2-q,45771,203118,46597,249159,313532,1103955,43846,371729
75-16-3-q,68331,284348,69461,342421,376275,1273900,65277,521100
75-16-4-q,108235,536850,109058,747702,691722,2268770,103201,951751
75-16-5-q,20062,75084,20559,90554,56275,176555,19564,119285
75-16-6-q,15951,71808,16312,86719,90064,335845,15558,113189
75-16-7-q,36535,147499,37213,180459,811562,3222237,35030,274381
75-16-8-q,13929,52016,14269,65781,39587,133023,13763,82964
75-16-9-q,45298,171461,46182,232472,404640,1255148,44014,346261
75-17-1-q,63577,252734,64513,320938,826451,2833618,61354,428171
75-17-10-q,19316,65595,19566,83304,57138,197723,18877,135037
75-17-2-q,18874,97908,19324,114938,169892,683013,18348,168675
75-17-3-q,102323,384424,104121,490191,1398661,4714174,98852,713683
75-17-4-q,26534,103496,27128,135296,204575,750702,26018,175285
75-17-5-q,57589,216844,58313,280469,335591,1322520,55654,395315
75-17-6-q,41019,158850,41454,217478,255599,1198898,39305,282377
75-17-7-q,95391,482952,96761,572393,419958,1373613,90223,914883
75-17-8-q,49347,201524,50365,240238,211083,677357,46946,378019
75-17-9-q,47762,228040,48282,294886,1056047,3958656,45527,396329
75-18-1-q,34602,148513,35198,188572,398358,1369983,33730,235588
75-18-10-q,62132,258765,63066,334442,2120453,7753804,59452,512486
75-18-2-q,533334,2161988,541109,2751701,1565661,4894402,506585,4278925
75-18-3-q,90181,380028,91168,517015,2755777,10380850,86533,740112
75-18-4-q,16744,70069,17244,81690,281353,1490411,16457,113244
75-18-5-q,37711,178668,38380,222379,463577,1884195,36123,325680
75-18-6-q,54679,216293,55847,278482,1779202,8793292,53018,369419
75-18-7-q,117496,475292,119434,564442,477194,1440845,112426,1115749
75-18-8-q,89914,472808,91424,543619,2121962,9757875,85853,824406
75-18-9-q,76108,394331,76981,480599,152241,608280,72697,670529
75-19-1-q,165203,758403,168650,948472,2151376,8099992,157673,1267715
75-19-10-q,83142,307140,84716,414632,1300978,4779303,80190,565232
75-19-2-q,130085,454959,131374,615390,3447280,12825738,124590,867076
75-19-3-q,87303,379034,88565,482078,27399096,122284765,83681,688524
75-19-4-q,81219,328920,83076,396820,1122191,4569097,77889,613474
75-19-5-q,56039,239337,56883,300603,508484,2152821,53356,434209
75-19-6-q,175116,777330,177481,1035157,3640850,11574360,167746,1525220
75-19-7-q,123210,478099,124793,615467,4098325,15856496,118817,1083282
75-19-8-q,288538,1245685,295211,1560707,5187821,18463084,277267,2197073
75-19-9-q,83885,347174,84084,465830,1049480,3633856,80129,761391
75-20-1-q,272362,1344919,274224,1649960,10427303,44660286,257937,2510229
75-20-10-q,342851,1552658,347276,1831505,2091177,8470654,324064,2571294
75-20-2-q,614325,2349727,618401,3044620,1198755,3766644,586307,4212177
75-20-3-q,105409,418434,106696,540437,20776790,86671194,100869,854762
75-20-4-q,59913,310327,61005,374531,2517977,10336988,57748,572073
75-20-5-q,43092,164051,44299,194417,306864,1197603,41428,329404
75-20-6-q,240246,1206996,241777,1572273,749603,2716352,226879,2020748
75-20-7-q,407580,1459172,409614,1922663,22793704,78171243,385716,3108075
75-20-8-q,732557,2892299,751585,3648908,10421104,31232958,704290,5827763
75-20-9-q,151033,635827,152272,810242,1038347,4184085,143938,1373105
75-21-1-q,147970,799583,148849,1098764,3093000,11449072,139207,1357328
75-21-10-q,335796,1563687,339645,1926450,16430954,57295844,317086,3365961
75-21-2-q,213954,884919,217535,1075029,1647039,5528548,201313,1920907
75-21-3-q,444472,1536316,455480,1765577,3265112,10770022,425476,3681875
75-21-4-q,183945,735402,186543,853954,3250818,12923630,172646,1650060
75-21-5-q,115892,520426,117334,626783,8737089,29172173,110781,997303
75-21-6-q,1888361,6755378,1911702,9013996,7552377,28841454,1802080,13769766
75-21-7-q,1093609,4935747,1113134,6349794,2150259,7518347,1036070,9054198
75-21-8-q,502832,2131321,509724,2619258,34377951,133157871,477182,4054443
75-21-9-q,6365,6364,6365,6364,--,--,--,--
75-22-1-q,386160,1729153,389493,2154247,10547338,39554041,369431,2893306
75-22-10-q,214658,933712,218512,1156291,3729158,17812030,205468,1757155
75-22-2-q,991793,3704695,1005479,4642033,15547833,61901042,948193,7788598
75-22-3-q,251077,1133278,255203,1457783,8352782,40219910,238294,2233311
75-22-4-q,1453317,5795218,1474637,7737980,60880961,202190447,1363872,12788137
75-22-5-q,112902,465123,114782,585624,17295785,61642391,108087,897029
75-22-6-q,2334179,10696142,2350006,13520192,4686928,19136645,2185147,22302628
75-22-8-q,791208,2982136,804294,3485186,12119230,45159776,751644,7465367
75-22-9-q,489040,1985881,500187,2291709,23736087,119078664,462453,4243200
75-23-1-q,142381,628480,145925,734979,54101598,203209523,136131,1200030
75-23-10-q,457052,2284994,463830,2774892,14280550,55873676,429943,4710468
75-23-2-q,1174051,7246645,1189992,9093513,22059286,96380604,1092840,18708242
75-23-3-q,644435,2493692,654431,3184200,19627689,67848328,613434,4634368
75-23-4-q,2351696,8726526,2409650,10485908,29042507,96505341,2241973,18740529
75-23-5-q,305621,1316217,312793,1656496,95862998,292747390,291089,3041981
75-23-6-q,1866214,9174007,1881345,11323488,17397481,69325027,1782049,16653729
75-23-7-q,556980,2749698,561571,3085548,40130831,176305900,526881,5351981
75-23-8-q,1474578,8295421,1491709,9779140,9877805,35559010,1367447,15522073
75-24-1-q,632169,2628281,643353,3010991,42765254,150019441,599087,4760287
75-24-10-q,4253256,16870388,4279627,21945062,8774730,28765443,4004603,31904801
75-24-2-q,8354,8353,8354,8353,--,--,8354,8353
75-24-4-q,273290,1031589,276033,1228452,2618092,10025953,256635,2344857
75-24-5-q,5357308,20661754,5485590,22953446,18989037,82124676,5100655,46850226
75-24-6-q,3043873,12756406,3064243,14866167,32894498,145613842,2845205,30779539
75-24-7-q,1833657,7253468,1863767,8726732,4636954,18794063,1750411,17185017
75-24-8-q,255814,1115793,259093,1332842,8024879,31854367,242005,2032697
75-25-1-q,332848,1658297,338591,1949748,15699007,57360015,317923,2864643
75-25-2-q,1156934,4421340,1174962,5651838,45328689,167213441,1091469,10228203
75-25-3-q,2716912,10843656,2746507,14006608,54050381,204663273,2612528,23495546
75-25-6-q,6196857,25615080,6237023,31441710,16175807,73297004,5849087,64107055
75-26-10-q,1282925,5126669,1300013,5820764,6744139,23620523,1209284,11663307
75-26-2-q,7897868,31896051,7990507,38596883,31167425,126486270,7557928,57196534
75-26-4-q,854409,3775637,863459,4373766,4924864,18943500,801761,9401742
75-26-7-q,314198,1182319,317450,1484463,9858733,36038268,298112,2403500
75-26-9-q,2177559,9205641,2198827,11667424,36492102,133404424,2061505,18641413
7z,181,334,181,334,188,341,169,322
90-10-1-q,1562,2770,1603,3287,2119,4669,1514,3460
90-10-10-q,1291,1420,1310,1472,1357,1626,1214,1376
90-10-2-q,1382,1381,1382,1381,--,--,1382,1381
90-10-3-q,1449,2408,1487,2640,1651,3393,1368,2701
90-10-4-q,1318,1517,1350,1643,1486,2048,1348,1699
