file_name,FastFMC_D0_number_of_nodes,FastFMC_D0_number_of_edges,FastFMC_D_number_of_nodes,FastFMC_D_number_of_edges,alt1_D0_number_of_nodes,alt1_D0_number_of_edges,alt2_D_number_of_nodes,alt2_D_number_of_edges
C169_FV,1521,1587,1596,1722,1573,1651,1596,1722
C169_FW,1521,1587,1596,1722,1573,1651,1596,1722
C170_FR,952748,4481558,971329,5613667,6969736,30745647,902997,8713229
C171_FR,40665,196148,42406,265590,164880,769422,39356,465465
C202_FS,6414763,30191484,6493236,39525589,37462245,185878004,6053668,84162202
C202_FW,10460091,60087823,10613329,83740180,--,--,9834348,147070546
C203_FCL,182793,817599,187144,1053651,4157516,13428125,175926,1633301
C203_FS,323385,1434387,329899,1719433,4854342,17811756,307569,3400419
C203_FW,496895,3127751,505829,3784435,9043321,35355327,470346,5823764
C208_FA,1156114,4972547,1182990,6763811,3002631,10443183,1103676,12016756
C208_FC,1020988,4883982,1045258,6250288,7609680,23081996,970891,12871767
C209_FA,41449,188211,43230,256661,184194,843611,40380,467980
C209_FC,57930,365276,59897,501736,283661,1311058,56197,819559
C210_FS,15016931,61264708,15332060,74048609,--,--,14305354,134788406
C210_FVF,40423,202672,42459,244130,530064,2049524,39747,342706
C210_FW,15806309,59071196,16134419,73156001,--,--,15050482,163370038
C211_FS,2652,5332,3034,7143,3461,7463,3020,7585
C211_FW,35770,118546,36953,149724,1708094,5057673,35465,180348
C215_FC,244018,1393459,251574,1562025,1395181,6625722,234006,2597511
C220_FV,1097993,4235606,1121768,5648852,12927003,43374171,1046835,11436132
C220_FW,2165246,9499301,2209382,12043118,4320421,20879579,2055362,23373236
C230_FR,81647,419791,84146,496180,801932,2457048,78878,692593
C250_FV,1741,1993,1932,2487,1823,2087,1932,2487
C250_FW,1741,1993,1932,2487,1823,2087,1932,2487
C638_FKA,12857,36115,13893,77056,167112,478919,13181,311225
C638_FKB,9630,28452,10595,61668,19075,43836,10065,157502
C638_FVK,5273,10658,6125,27518,7671,14491,6013,71304
D1119_M20,1664,2168,1703,2317,1823,2335,1701,2327
D1119_M23,1857,2683,1919,2969,2040,2960,1901,3112
Dune,65,77,78,107,82,94,75,104
HiPAcc,162,306,174,336,186,342,173,347
JHipster,165,296,176,312,177,308,175,315
JavaGC,140,187,140,187,149,196,125,172
LLVM,32,31,32,31,34,33,2,1
Polly,134,169,134,169,145,180,134,169
VP9,145,182,145,182,156,193,145,182
X264,49,52,49,52,54,57,49,52
XSEngine,21689,131824,22717,135948,62317,278393,21163,272159
aaed2000,33114,184527,34145,183681,98791,515852,31735,498657
adder,48661,267605,50294,262831,135890,602484,46450,581282
adderII,36013,281061,37376,268239,125517,973344,34279,954571
aeb,26112,161816,27090,170881,86435,530480,25106,518934
aim711,27385,176208,28458,176897,83150,380280,26340,363887
ais10,1428,26503,1428,26503,8591,47833,1240,40154
ais12,5463,159417,5463,159417,53631,317580,4526,268668
ais6,203,1002,203,1002,324,1381,190,1247
ais8,367,2734,367,2734,921,4450,341,3870
aki3068net,28359,204672,29515,181860,93245,598880,27232,580522
am31_sim,10070,50730,10813,51840,23672,91957,10234,87786
anomaly,49,48,49,48,51,50,49,48
asb,21075,136113,21963,145552,65630,482354,20498,479362
asb2305,31522,229726,32667,184375,105171,695904,30184,687268
assabet,33041,194160,34071,202156,89234,427006,31655,420611
at91sam7sek,30573,190956,31803,187538,99869,617413,29212,602628
at91sam7xek,38072,236016,39488,251999,125343,684673,36577,685055
atlas_mips32_4kc,25778,168336,26822,169645,77941,368475,24881,354850
atlas_mips64_5kc,29022,221127,30072,198644,98149,664075,27740,649313
automotive01,10057,35664,10662,37619,13070,47222,10598,46158
automotive2_4,82155,435253,85204,455598,86138,451047,85164,467249
axTLS,1385,2572,1385,2572,1616,2825,1384,2593
axtls_2_1_4,309,537,360,628,369,597,360,628
berkeleydb,243,464,321,644,291,512,321,644
binsearch.16,9894977,133922973,9971261,110422026,--,--,9446894,486665331
binsearch.16.pp,1754,9585,1795,13187,2601,24805,1706,15608
binsearch.32.pp,1754,9585,1795,13187,2595,22907,1706,15608
blockmap_05_01.net,2463,4793,2483,4831,2464,4812,2482,4848
blockmap_05_02.net,3181,12518,3233,12930,3226,13337,3224,13627
blockmap_05_03.net,4201,21390,4289,22809,4235,22164,4270,23642
blockmap_10_01.net,20174,64308,20230,64675,20187,69781,20227,69958
blockmap_10_02.net,22939,270992,23062,269910,23135,297407,23015,299304
blockmap_10_03.net,27815,567263,27983,584270,28101,593932,27825,608372
blockmap_15_01.net,58533,252875,58613,253157,58528,277071,58606,277441
blockmap_15_02.net,63935,997396,64102,1008983,64542,1115155,64016,1120818
blockmap_15_03.net,75403,2530193,75674,2596179,76710,2803010,75042,2858234
blockmap_20_01.net,138196,721614,138306,718498,138192,814260,138298,814860
blockmap_20_02.net,147332,3645244,147561,3628387,149070,4117595,147450,4127678
blockmap_20_03.net,170527,12125530,170812,12497534,175969,13745042,169224,13898906
blockmap_22_01.net,--,--,--,--,--,--,--,--
blockmap_22_02.net,--,--,--,--,--,--,--,--
blockmap_22_03.net,--,--,--,--,--,--,--,--
blocks_right_2_p_t1,353,948,366,990,408,1033,361,1027
blocks_right_2_p_t10,15078,281248,15301,284748,26997,355985,14848,328545
blocks_right_2_p_t2,975,4344,1008,4618,1095,6077,986,5542
blocks_right_2_p_t3,1765,9674,1824,9938,2136,12136,1785,11210
blocks_right_2_p_t4,2577,18114,2665,18101,3286,23441,2576,22259
blocks_right_2_p_t5,3499,27291,3606,27914,4944,39306,3480,34387
blocks_right_2_p_t6,5730,74689,5869,74861,8656,86750,5664,84355
blocks_right_2_p_t7,7856,96089,7996,97782,11907,129535,7612,118786
blocks_right_2_p_t8,8068,107595,8211,110878,12668,139411,7964,132718
blocks_right_2_p_t9,10137,134907,10343,136794,15828,176992,9883,171982
blocks_right_3_p_t1,1528,7824,1583,7924,2209,8894,1536,8447
blocks_right_3_p_t10,2674470,72997170,2687109,71537119,5399928,84170337,2534439,81479128
blocks_right_3_p_t2,6824,49050,6990,49862,8055,69849,6690,69707
blocks_right_3_p_t3,16009,139252,16298,141954,23043,237736,15404,187156
blocks_right_3_p_t4,30335,364751,30700,367855,46145,589446,28823,539020
blocks_right_3_p_t5,65955,804110,66546,802353,103031,1456777,61895,1184236
blocks_right_3_p_t6,183616,3946741,185002,3897096,319941,4959735,172690,4827992
blocks_right_3_p_t7,353130,6441029,355070,6379641,586620,10567221,325955,8970193
blocks_right_3_p_t8,440370,10448967,443454,10208587,820901,14159958,410468,13649017
blocks_right_3_p_t9,1009281,21171729,1014049,20730942,2123952,41474305,925616,28864940
blocks_right_4_p_t1,11375,80234,11528,81197,15781,96244,10798,90018
blocks_right_4_p_t2,74466,541130,75122,554315,87821,963771,71630,827302
blocks_right_4_p_t3,233506,1888625,235614,1890176,434406,7020070,220322,2924927
blocks_right_4_p_t4,618832,7858261,622742,7722777,811055,13224061,577583,12611101
blocks_right_4_p_t5,2067702,21061065,2076671,20665444,3973752,60550799,1933931,35516722
blocks_right_4_p_t6,10349849,229517394,10393625,223664885,18483582,293399401,9673925,285263116
blocks_right_5_p_t1,134223,792451,135926,826735,214706,995542,127752,952806
blocks_right_5_p_t2,672768,3764743,679179,3921393,928132,6515425,649989,5640095
blocks_right_5_p_t3,4855973,40461194,4899653,40198068,6454550,73942329,4576538,70571819
blocks_right_5_p_t4,12295515,148556213,12378950,141543076,17821688,273737431,11501796,269354610
blocks_right_6_p_t1,2498509,21588964,2505260,21540547,--,--,2295351,25676488
blocks_right_6_p_t2,7396686,39665645,7453328,41818394,14561364,97884582,7148872,58570048
bmc-ibm-1,24193,372508,24532,370372,44936,429943,24167,411602
bmc-ibm-11,1967365,387330399,--,--,--,--,--,--
bmc-ibm-12,380505,28210734,382560,28197604,1118544,92234419,319362,91727005
bmc-ibm-13,55569,1147856,55629,1157402,80169,3029693,52742,3003389
bmc-ibm-2,4169,13609,4225,13857,4286,16832,4204,16348
bmc-ibm-3,15630,16507,15630,16507,15983,16860,15630,16507
bmc-ibm-4,96482,5230158,97099,4974649,261852,7998605,87858,7837367
bmc-ibm-5,253932,4326012,255099,4512463,--,--,229431,9625342
bomb_b10_t10_p_t1,4541,10700,4961,11960,8744,14903,4961,11960
bomb_b10_t10_p_t10,42545,115536,46741,132772,83984,157146,46741,132772
bomb_b10_t10_p_t11,46741,126960,51361,146564,92344,172563,51361,146564
bomb_b10_t10_p_t12,50961,140140,56001,159620,100704,189883,56001,159620
bomb_b10_t10_p_t13,55181,152680,60641,175676,109064,206563,60641,175676
bomb_b10_t10_p_t14,59473,167271,65345,192543,117424,225655,65345,192543
bomb_b10_t10_p_t15,63621,177928,69921,204840,125784,240091,69921,204840
bomb_b10_t10_p_t16,67841,190323,74561,221351,134144,256626,74561,221351
bomb_b10_t10_p_t17,72061,204988,79201,239092,142504,275431,79201,239092
bomb_b10_t10_p_t18,76281,215404,83841,248968,150864,289987,83841,248968
bomb_b10_t10_p_t19,80501,230844,88481,268772,159224,309567,88481,268772
bomb_b10_t10_p_t2,8761,21080,9601,23600,17104,29423,9601,23600
bomb_b10_t10_p_t20,84721,242908,93121,281952,167584,325771,93121,281952
bomb_b10_t10_p_t3,12981,32160,14241,36120,25464,44643,14241,36120
bomb_b10_t10_p_t4,17201,43432,18881,49132,33824,60055,18881,49132
bomb_b10_t10_p_t5,21421,54925,23521,62165,42184,75688,23521,62165
bomb_b10_t10_p_t6,25641,66660,28161,75424,50544,91563,28161,75424
bomb_b10_t10_p_t7,29861,78440,32801,89432,58904,107483,32801,89432
bomb_b10_t10_p_t8,34081,90160,37441,103360,67264,123343,37441,103360
bomb_b10_t10_p_t9,38301,102844,42081,117340,75624,140167,42081,117340
bomb_b10_t5_p_t1,2656,5550,2896,6270,4459,7353,2896,6270
bomb_b10_t5_p_t10,24391,59439,26791,69218,41989,77037,26791,69218
bomb_b10_t5_p_t2,5071,10860,5551,12300,8629,14418,5551,12300
bomb_b10_t5_p_t3,7486,16464,8206,18840,12799,21777,8206,18840
bomb_b10_t5_p_t4,9937,22381,10889,25482,16969,29512,10889,25482
bomb_b10_t5_p_t5,12316,28116,13516,32427,21139,36939,13516,32427
bomb_b10_t5_p_t6,14737,34447,16176,39592,25309,45028,16176,39592
bomb_b10_t5_p_t7,17146,40600,18826,47214,29479,52933,18826,47214
bomb_b10_t5_p_t8,19561,46957,21481,54058,33649,61045,21481,54058
bomb_b10_t5_p_t9,21985,53305,24145,62010,37819,69273,24145,62010
bomb_b20_t5_p_t1,6926,18125,7576,20075,15054,26253,7576,20075
bomb_b20_t5_p_t10,65651,195670,72151,222413,146229,276248,72151,222413
bomb_b20_t5_p_t2,13451,35850,14751,39750,29629,52028,14751,39750
bomb_b20_t5_p_t3,19976,54430,21926,60775,44204,78658,21926,60775
bomb_b20_t5_p_t4,26507,73832,29106,82680,58779,106190,29106,82680
bomb_b20_t5_p_t5,33077,93274,36316,105022,73354,133876,36316,105022
bomb_b20_t5_p_t6,39551,113023,43451,128080,87929,161401,43451,128080
bomb_b20_t5_p_t7,46076,133483,50626,151633,102504,189911,50626,151633
bomb_b20_t5_p_t8,52601,154249,57801,176803,117079,218727,57801,176803
bomb_b20_t5_p_t9,59126,175338,64976,200825,131654,247866,64976,200825
bomb_b5_t1_p_t1,523,816,565,942,652,945,565,942
bomb_b5_t1_p_t10,4357,8536,4777,10208,5458,9637,4777,10208
bomb_b5_t1_p_t2,949,1536,1033,1788,1186,1773,1033,1788
bomb_b5_t1_p_t3,1375,2339,1501,2730,1720,2684,1501,2730
bomb_b5_t1_p_t4,1801,3162,1969,3744,2254,3615,1969,3744
bomb_b5_t1_p_t5,2227,4006,2437,4768,2788,4567,2437,4768
bomb_b5_t1_p_t6,2653,4905,2905,5859,3322,5574,2905,5859
bomb_b5_t1_p_t7,3079,5808,3373,6970,3856,6585,3373,6970
bomb_b5_t1_p_t8,3505,6680,3841,8006,4390,7565,3841,8006
bomb_b5_t1_p_t9,3931,7652,4309,9176,4924,8645,4309,9176
bomb_b5_t5_p_t1,1271,2300,1381,2630,1824,2853,1381,2630
bomb_b5_t5_p_t10,11261,24671,12361,29119,16494,29904,12361,29119
bomb_b5_t5_p_t2,2381,4440,2601,5100,3454,5513,2601,5100
bomb_b5_t5_p_t3,3491,6772,3821,7810,5084,8365,3821,7810
bomb_b5_t5_p_t4,4601,9103,5041,10639,6714,11216,5041,10639
bomb_b5_t5_p_t5,5711,11606,6261,13536,8344,14239,6261,13536
bomb_b5_t5_p_t6,6821,14136,7481,16626,9974,17289,7481,16626
bomb_b5_t5_p_t7,7931,16693,8701,19425,11604,20366,8701,19425
bomb_b5_t5_p_t8,9041,19266,9921,22986,13234,23459,9921,22986
bomb_b5_t5_p_t9,10151,22024,11141,26034,14864,26737,11141,26034
brutus,33028,187086,33996,192223,109891,503927,31321,499350
buildroot,2515242,19880527,2514805,19872300,--,--,2292423,123960766
busybox-1.18.0,12675,19293,12675,19293,14580,21244,12673,19337
busybox_1_28_0,3764,8908,5012,15045,10765,19662,4948,28562
bw_large.a,460,459,460,459,462,461,460,459
bw_large.b,1110,1109,1110,1109,1130,1129,1110,1109
bw_large.c,3085,3126,3085,3126,3221,3576,3084,3439
bw_large.d,6779,39682,6779,39682,8841,65206,6758,63123
c1355.isc,1315608,10355634,1315597,10352368,2072078,13161197,1224879,12314286
c1908.isc,9933973,139869652,9936573,139713508,18057121,235199159,9135165,226318181
c432.isc,3237,19282,3254,19461,5336,22072,3198,20090
c499.isc,991023,3655538,991197,3654619,1969312,4711859,987394,3736093
c7552.isc,4969579,81440583,4969716,81474218,7366246,162009824,4464813,158658302
c880.isc,3716013,30958427,3741870,29489602,5893654,39951376,3481175,37731528
calm16_ceb,27280,159578,28339,163267,76493,356060,26241,348175
calm32_ceb,27723,161375,28798,163371,77080,356692,26684,348967
ceb_v850,21520,146798,22507,146683,65444,289905,20954,278482
cerf,47678,298004,49219,306839,149189,655086,45331,638388
cerfpda,46789,265529,48198,273232,150769,760091,44297,738811
cma230,22001,122974,22967,157436,68430,425846,21463,427667
cma28x,21810,126944,22796,129502,67502,288932,21218,270358
cme555,40504,236733,41460,226485,130533,750996,38129,737403
cnt06.shuffled,763,762,763,762,814,813,763,762
cnt07.shuffled,1789,1788,1789,1788,1848,1847,1789,1788
cnt08.shuffled,4092,4091,4092,4091,4140,4139,4092,4091
cnt09.shuffled,9208,9207,9208,9207,9459,9458,9208,9207
cnt10.shuffled,20471,20470,20471,20470,20682,20681,20471,20470
coins_p01_p_t1,1240,3570,1300,3945,1554,3968,1286,4041
coins_p01_p_t10,11254059,110711549,11280961,107142995,--,--,--,--
coins_p01_p_t2,10861,53266,10997,54509,17841,74111,10536,68854
coins_p01_p_t3,29259,169688,29612,169070,50450,232048,28315,217876
coins_p01_p_t4,72488,573866,72960,590161,152869,765237,67810,704390
coins_p01_p_t5,213619,1764243,215359,1794673,511599,2893282,200930,2657810
coins_p01_p_t6,607960,3997060,615016,4054624,1297700,6503946,575064,6010607
coins_p01_p_t7,3560255,38323299,3580726,38351189,16561549,76667411,3270600,53669414
coins_p01_p_t8,6631391,58009048,6664203,56970858,16608393,100256010,6208900,91758772
coins_p01_p_t9,--,--,--,--,--,--,--,--
coins_p02_p_t1,1240,3570,1300,3945,1554,3968,1286,4041
coins_p02_p_t10,11254059,110711549,11280961,107142995,--,--,--,--
coins_p02_p_t2,10861,53266,10997,54509,17841,74111,10536,68854
coins_p02_p_t3,29259,169688,29612,169070,50450,232048,28315,217876
coins_p02_p_t4,72488,573866,72960,590161,152869,765237,67810,704390
coins_p02_p_t5,213619,1764243,215359,1794673,511599,2893282,200930,2657810
coins_p02_p_t6,607960,3997060,615016,4054624,1297700,6503946,575064,6010607
coins_p02_p_t7,3560255,38323299,3580726,38351189,16561549,76667411,3270600,53669414
coins_p02_p_t8,6631391,58009048,6664203,56970858,16608393,100256010,6208900,91758772
coins_p03_p_t1,1238,3556,1297,3935,1554,3962,1283,4031
coins_p03_p_t2,10814,52671,10958,53910,17781,73733,10488,68471
coins_p03_p_t3,68758,496165,69177,501434,140728,751166,63453,695938
coins_p03_p_t4,80899,604219,81660,614104,167154,826174,77193,760517
coins_p03_p_t5,398527,2856692,401057,3015203,776845,3480575,384256,3258852
coins_p03_p_t6,604155,3935036,611198,3996799,1286278,6418035,571760,5931440
coins_p03_p_t7,3560644,38304249,3581199,38112296,16212100,74349768,3270174,53716643
coins_p03_p_t8,1882283,19106297,1895053,18713642,4738633,30767189,1746307,28518883
coins_p03_p_t9,15022282,144964180,15165825,135900208,--,--,14134839,198132114
coins_p04_p_t1,1240,3570,1300,3945,1554,3968,1286,4041
coins_p04_p_t10,11254059,110711549,11280961,107142995,--,--,--,--
coins_p04_p_t2,10861,53266,10997,54509,17841,74111,10536,68854
coins_p04_p_t3,29259,169688,29612,169070,50450,232048,28315,217876
coins_p04_p_t4,72488,573866,72960,590161,152869,765237,67810,704390
coins_p04_p_t5,213619,1764243,215359,1794673,511599,2893282,200930,2657810
coins_p04_p_t6,607960,3997060,615016,4054624,1297700,6503946,575064,6010607
coins_p04_p_t7,3560255,38323299,3580726,38351189,16561549,76667411,3270600,53669414
coins_p04_p_t8,6631391,58009048,6664203,56970858,16608393,100256010,6208900,91758772
coins_p04_p_t9,15166287,139674212,15257889,136882617,--,--,14170458,184222092
coins_p05_p_t1,1241,3556,1299,3958,1554,3971,1286,4043
coins_p05_p_t10,2638589,24829012,2651490,25245226,--,--,--,--
coins_p05_p_t2,8522,41632,8654,43340,13699,58807,8328,55567
coins_p05_p_t3,69333,504951,69924,505555,142232,759227,64151,703243
coins_p05_p_t4,72383,574168,72825,588024,152692,765186,67727,704356
coins_p05_p_t5,399196,2864633,401741,3021467,777842,3484868,384978,3263222
coins_p05_p_t6,140623,965869,142023,974565,279930,1294026,135453,1186562
coins_p05_p_t7,2111308,14875419,2128206,15118788,4306119,19669015,2009957,18075437
coins_p05_p_t8,1964742,20239734,1978564,19773190,4962082,32136634,1822611,29786499
coins_p05_p_t9,2495181,29960761,2504688,30005282,6446523,39816232,2328388,36374058
coins_p10_p_t1,4469,17446,4592,19851,7354,21878,4533,20262
coins_p10_p_t2,166026,968673,166912,950351,556603,1938332,158655,1797381
coins_p10_p_t3,2396947,22387068,2388810,20804556,5822061,37570579,2097610,35783908
comm_p01_p_t1,974,2592,991,2816,1238,3094,975,2943
comm_p01_p_t10,86824,970555,86745,1041867,152782,1195631,83968,1180264
comm_p01_p_t2,6062,33548,6190,32479,8766,43263,5845,42209
comm_p01_p_t3,14752,85892,14890,94651,21105,126806,14111,126019
comm_p01_p_t4,17504,128029,17800,128533,28063,161443,17041,157401
comm_p01_p_t5,30671,239915,30928,253223,48116,306196,29498,301772
comm_p01_p_t6,43583,370768,43664,389304,70981,485840,41877,478254
comm_p01_p_t7,65275,558007,65136,598032,107383,727418,62512,716075
comm_p01_p_t8,48048,513388,48412,529854,86883,619249,46784,605170
comm_p01_p_t9,67840,769864,68129,800846,121833,930981,65763,915921
comm_p02_p_t1,3495,14170,3538,14071,5570,17979,3384,16140
comm_p02_p_t10,360109,4466734,360096,4824032,662321,5959708,343745,5932948
comm_p02_p_t2,20475,113599,20773,113982,30696,163269,19489,157863
comm_p02_p_t3,38587,252932,39373,249788,61130,353060,36972,346382
comm_p02_p_t4,89582,632572,90287,667003,137441,926729,84812,915921
comm_p02_p_t5,109887,891982,110560,925849,178446,1323312,103890,1309693
comm_p02_p_t6,124994,1217436,126133,1260262,203875,1684849,119312,1679746
comm_p02_p_t7,205715,2245723,206738,2348793,377572,2992164,196992,2952206
comm_p02_p_t8,219422,2473682,219988,2599390,387327,3221216,209899,3211431
comm_p02_p_t9,320094,3672091,319659,3991204,565167,4940021,304659,4934565
comm_p03_p_t1,5889,22109,5936,22764,8418,28798,5685,26792
comm_p03_p_t10,806530,9774098,809824,10457033,1462464,13322846,771451,13327401
comm_p03_p_t2,45060,267043,45665,265374,71318,372925,42566,357087
comm_p03_p_t3,144272,835189,147111,879276,226656,1504579,135804,1504905
comm_p03_p_t4,165818,1244720,169270,1182658,288185,1915468,157466,1871270
comm_p03_p_t5,251062,2143319,254162,2228607,412264,3164171,238231,3156942
comm_p03_p_t6,363880,3421321,367010,3489377,640803,4691680,346495,4663337
comm_p03_p_t7,565874,5228725,568070,5483307,960369,7840894,535587,7831452
comm_p03_p_t8,409325,4546085,413664,4542647,757512,6193744,393876,6132709
comm_p03_p_t9,571724,6757975,575375,6892826,1049263,9231683,545678,9155971
comm_p04_p_t1,19818,85661,20011,84882,39594,136832,18470,117841
comm_p04_p_t10,2422994,30209721,2432037,31694347,4497891,42266256,2308083,42529849
comm_p04_p_t2,186799,1006202,190299,1026625,306825,1798445,176166,1770294
comm_p04_p_t3,280749,1774832,285682,1792397,476008,3274929,262894,3241531
comm_p04_p_t4,527133,3882288,537322,3981323,886021,6633630,495890,6617990
comm_p04_p_t5,766246,6747130,775003,6881632,1293570,10410367,722310,10456123
comm_p04_p_t6,943136,8355475,952667,8620833,1592806,13583349,890046,13645047
comm_p04_p_t7,1187250,12532835,1198060,12556631,2042268,19081818,1120925,19103899
comm_p04_p_t8,1724094,18645279,1730789,20102889,2970039,27575242,1630610,27866299
comm_p04_p_t9,2184187,23844487,2185662,25276926,3734821,34574805,2065330,34838630
comm_p05_p_t1,48251,210132,48559,206490,89273,325148,44914,284683
comm_p05_p_t10,10294146,119860026,10320336,127436947,--,--,9535250,243004541
comm_p05_p_t2,339402,1667218,345024,1636934,661296,3411307,320113,3235135
comm_p05_p_t3,875982,5333584,892316,5425068,1375403,9824145,827017,9821277
comm_p05_p_t4,1650657,12151921,1669455,12972789,2766973,21123607,1550446,21260452
comm_p05_p_t5,2042209,17201008,2059086,18254396,3452658,30447769,1911806,30704115
comm_p05_p_t6,2685795,25898552,2710323,25820652,4455924,44235561,2515399,44737814
comm_p05_p_t7,6927178,82180707,7029350,79936686,11365053,152150798,6402077,155423085
comm_p05_p_t8,4226275,47230591,4241448,51223514,--,--,4008782,71717483
comm_p05_p_t9,8381301,89371062,8406020,95997925,--,--,7817254,150206508
comm_p10_p_t1,4455804,20520467,4464136,20221921,11202803,44139296,4023607,37186598
comm_p10_p_t3,--,--,--,--,--,--,--,--
cq7708,28746,181076,29750,189367,91446,601165,27558,603359
cq7750,22903,138623,24003,140888,70047,320239,22168,308618
csb281,24504,153971,25451,161588,76616,387068,23658,382308
dreamcast,34557,199365,35611,200922,115259,641184,32698,643891
e7t,27228,167144,28324,170389,79664,360390,26207,348563
ea2468,29757,203622,30978,193062,89329,442335,28811,420808
eb40,24138,179690,25144,179104,80821,528990,23311,527929
eb40a,30088,166321,31354,163226,80932,391134,28986,386254
eb42,21596,122497,22649,129136,62765,266325,21043,251686
eb55,25248,154408,26275,154542,80466,466904,24330,462769
ebsa285,28993,209501,30202,219597,95678,693225,27830,675841
ec555,40613,234393,41987,229678,135856,713615,38592,696162
ecos-icse11,47793,267295,48858,234739,141254,760842,45400,762708
edb7xxx,47119,268604,48571,248539,146239,733233,44587,703498
edosk2674,42876,228592,44053,228128,132225,648223,40606,619362
embtoolkit,46401,207176,46403,207066,55218,266801,46336,257925
emptyroom_d12_g6_p_t1,491,2099,491,2099,496,2104,491,2099
emptyroom_d12_g6_p_t10,7783,100199,7810,100270,10144,106330,7633,103901
emptyroom_d12_g6_p_t2,871,4295,875,4307,1206,5032,859,4693
emptyroom_d12_g6_p_t3,2487,28601,2487,28601,2609,31532,2362,31285
emptyroom_d12_g6_p_t4,2081,13719,2094,13714,2460,15527,2040,15133
emptyroom_d12_g6_p_t5,3081,28329,3094,28375,3650,30964,3013,30352
emptyroom_d12_g6_p_t6,4564,43755,4578,43797,4809,46156,4444,45839
emptyroom_d12_g6_p_t7,6073,71621,6089,71648,6529,75901,5873,75308
emptyroom_d12_g6_p_t8,9199,98760,9224,99028,9974,103945,8833,102956
emptyroom_d12_g6_p_t9,12792,162808,12811,163156,13073,177237,12200,176523
emptyroom_d16_g8_p_t1,663,3360,663,3360,664,3471,659,3466
emptyroom_d16_g8_p_t10,31353,447946,31360,448478,31549,483862,29032,481684
emptyroom_d16_g8_p_t2,1178,6877,1182,6889,1740,8375,1155,7798
emptyroom_d16_g8_p_t3,3759,55100,3759,55100,3962,70746,3509,70293
emptyroom_d16_g8_p_t4,2974,29324,2981,29334,3458,35001,2881,34444
emptyroom_d16_g8_p_t5,11133,296754,11133,296754,10679,375623,10082,375026
emptyroom_d16_g8_p_t6,6015,66733,6021,66817,6441,72147,5834,71588
emptyroom_d16_g8_p_t7,8627,116125,8674,116026,9328,126096,8300,125126
emptyroom_d16_g8_p_t8,14008,181596,14046,181752,14715,197913,13250,196588
emptyroom_d16_g8_p_t9,21393,344408,21350,345239,21497,366636,20165,365450
emptyroom_d20_g10_corners_p_t1,1099,3197,1099,3197,1409,3521,1097,3209
emptyroom_d20_g10_corners_p_t10,--,--,--,--,--,--,--,--
emptyroom_d20_g10_corners_p_t2,3019,16192,3019,16192,4186,17609,3007,16430
emptyroom_d20_g10_corners_p_t3,8153,65764,8153,65764,11571,71671,8034,68134
emptyroom_d20_g10_corners_p_t4,24933,274479,24933,274479,35385,300720,24389,289724
emptyroom_d20_g10_corners_p_t5,71438,966887,71438,966887,102838,1062382,69643,1029187
emptyroom_d20_g10_corners_p_t6,222353,3518064,222353,3518064,318703,3923676,215832,3820805
emptyroom_d20_g10_corners_p_t7,690547,12234302,690547,12234302,999454,13994814,666395,13661755
emptyroom_d24_g12_p_t1,995,7167,995,7167,1000,7172,995,7167
emptyroom_d24_g12_p_t10,57830,1178241,57910,1178369,54755,1296800,53252,1295613
emptyroom_d24_g12_p_t2,2358,33299,2358,33299,2346,35777,2325,35756
emptyroom_d24_g12_p_t3,5592,127328,5592,127328,5378,148234,5347,148203
emptyroom_d24_g12_p_t4,14906,428737,14906,428737,13674,574052,13631,574009
emptyroom_d24_g12_p_t5,16740,574770,16740,574770,16603,788770,15090,787257
emptyroom_d24_g12_p_t6,44320,1710478,44320,1710478,41267,2511627,38524,2508884
emptyroom_d24_g12_p_t7,15244,303053,15253,303057,16340,342941,14317,340972
emptyroom_d24_g12_p_t8,30533,833326,30565,833145,32856,925617,27965,920787
emptyroom_d24_g12_p_t9,35149,747452,35196,746464,35356,819496,32741,817011
emptyroom_d28_g14_corners_p_t1,1576,4741,1576,4741,2091,5280,1574,4763
emptyroom_d28_g14_corners_p_t10,37773434,907737470,--,--,--,--,--,--
emptyroom_d28_g14_corners_p_t2,4445,24671,4445,24671,6169,26805,4427,25063
emptyroom_d28_g14_corners_p_t3,12187,102853,12187,102853,17593,111218,12083,105708
emptyroom_d28_g14_corners_p_t4,34743,388545,34743,388545,50465,422129,34229,405893
emptyroom_d28_g14_corners_p_t5,105394,1447262,105394,1447262,153601,1574164,103487,1524050
emptyroom_d28_g14_corners_p_t6,320561,5123841,320561,5123841,469744,5620186,313313,5463755
emptyroom_d28_g14_corners_p_t7,1031519,18849152,1031519,18849152,--,--,1005308,20235888
emptyroom_d28_g14_corners_p_t8,3187275,65130486,3187275,65130486,--,--,3103529,70436694
emptyroom_d28_g14_corners_p_t9,9864452,221738918,9864452,221738918,--,--,9575513,241776154
emptyroom_d4_g2_p_t1,155,345,155,345,160,350,155,345
emptyroom_d4_g2_p_t10,1562,8677,1599,8812,1999,9168,1592,8867
emptyroom_d4_g2_p_t2,261,615,266,630,323,685,265,637
emptyroom_d4_g2_p_t3,394,1236,403,1263,492,1340,401,1269
emptyroom_d4_g2_p_t4,522,1645,534,1686,593,1728,532,1696
emptyroom_d4_g2_p_t5,654,2421,669,2463,777,2546,668,2470
emptyroom_d4_g2_p_t6,842,3637,863,3712,983,3820,861,3756
